Ticker,2023 Debt,2023 Equity,2023 Revenue,2023 Operating Cash Flow,2023 Capital Expenditure,2023 Current Assets,2023 Current Liabilities,2023 Current Income,2022 Debt,2022 Equity,2022 Revenue,2022 Operating Cash Flow,2022 Capital Expenditure,2022 Current Assets,2022 Current Liabilities,2022 Current Income,2021 Debt,2021 Equity,2021 Revenue,2021 Operating Cash Flow,2021 Capital Expenditure,2021 Current Assets,2021 Current Liabilities,2021 Current Income,2024 Debt,2024 Equity,2024 Revenue,2024 Operating Cash Flow,2024 Capital Expenditure,2024 Current Assets,2024 Current Liabilities,2024 Current Income
CMCSA,97090000000.0,82703000000.0,121572000000.0,28501000000.0,-15540000000.0,23987000000.0,40198000000.0,23313000000.0,99983000000.0,80943000000.0,121427000000.0,26413000000.0,-13767000000.0,21826000000.0,27887000000.0,22624000000.0,,,,,,,,,99093000000.0,85560000000.0,123731000000.0,27673000000.0,-15130000000.0,26801000000.0,39581000000.0,23298000000.0
CMI,7208000000.0,8850000000.0,34065000000.0,3966000000.0,-1213000000.0,15198000000.0,12903000000.0,1412000000.0,8355000000.0,8975000000.0,28074000000.0,1962000000.0,-916000000.0,14451000000.0,11421000000.0,2661000000.0,4613000000.0,8146000000.0,24021000000.0,2256000000.0,-734000000.0,12309000000.0,7084000000.0,2200000000.0,,,,,,,,
DELL,29588000000.0,-3122000000.0,102301000000.0,3565000000.0,-3003000000.0,42351000000.0,51654000000.0,5771000000.0,26954000000.0,-1685000000.0,101197000000.0,10307000000.0,-2796000000.0,45033000000.0,56219000000.0,4659000000.0,,,,,,,,,25994000000.0,-2404000000.0,88425000000.0,8676000000.0,-2756000000.0,35947000000.0,48494000000.0,5211000000.0
DAL,27281000000.0,11105000000.0,58048000000.0,6464000000.0,-5323000000.0,10269000000.0,26418000000.0,5277000000.0,30610000000.0,6582000000.0,50582000000.0,6363000000.0,-6366000000.0,13011000000.0,25940000000.0,3953000000.0,34679000000.0,3887000000.0,29899000000.0,3264000000.0,-3247000000.0,15940000000.0,20966000000.0,2337000000.0,,,,,,,,
LLY,25225300000.0,10771900000.0,34124100000.0,4240100000.0,-7392100000.0,25727000000.0,27293200000.0,10787300000.0,16238600000.0,10649800000.0,28541400000.0,7585700000.0,-2985300000.0,18034500000.0,17138200000.0,8653300000.0,16884700000.0,8979200000.0,28318400000.0,7365900000.0,-1978400000.0,18452400000.0,15052700000.0,7933000000.0,,,,,,,,
FNMA,4222718000000.0,77682000000.0,30299000000.0,11883000000.0,,,,,4221888000000.0,60277000000.0,30722000000.0,43826000000.0,,,,,4158191000000.0,47357000000.0,31455000000.0,47211000000.0,,,,,,,,,,,,
FDX,38332000000.0,26088000000.0,90155000000.0,8848000000.0,-6174000000.0,18610000000.0,13586000000.0,5338000000.0,37194000000.0,24939000000.0,93512000000.0,9832000000.0,-6763000000.0,20365000000.0,14274000000.0,6523000000.0,,,,,,,,,37719000000.0,27582000000.0,87693000000.0,8312000000.0,-5176000000.0,18207000000.0,13355000000.0,6298000000.0
F,151107000000.0,42773000000.0,176191000000.0,14918000000.0,-8236000000.0,121481000000.0,101531000000.0,5458000000.0,140474000000.0,43242000000.0,158057000000.0,6853000000.0,-6866000000.0,116476000000.0,96866000000.0,6276000000.0,139485000000.0,48519000000.0,136341000000.0,15787000000.0,-6227000000.0,108996000000.0,90727000000.0,4523000000.0,,,,,,,,
FMCC,3214167000000.0,47722000000.0,21229000000.0,7615000000.0,,,,,3155216000000.0,37018000000.0,21264000000.0,11925000000.0,,,,,2982452000000.0,28033000000.0,21951000000.0,16353000000.0,,,,,,,,,,,,
GE,22937000000.0,27378000000.0,67954000000.0,5179000000.0,-1595000000.0,59798000000.0,50876000000.0,3574000000.0,26148000000.0,33696000000.0,58099000000.0,5916000000.0,-1174000000.0,58382000000.0,49428000000.0,276000000.0,38032000000.0,40310000000.0,56469000000.0,3481000000.0,-1113000000.0,66349000000.0,51952000000.0,1058000000.0,,,,,,,,
GD,11083000000.0,21299000000.0,42272000000.0,4710000000.0,-904000000.0,23615000000.0,16432000000.0,4245000000.0,12114000000.0,18568000000.0,39407000000.0,4579000000.0,-1114000000.0,21063000000.0,15341000000.0,4211000000.0,13175000000.0,17641000000.0,38469000000.0,4271000000.0,-887000000.0,19987000000.0,13978000000.0,4163000000.0,,,,,,,,
GM,122648000000.0,64286000000.0,171842000000.0,20930000000.0,-24610000000.0,101618000000.0,94445000000.0,9298000000.0,115666000000.0,67792000000.0,156735000000.0,16043000000.0,-21187000000.0,100451000000.0,91173000000.0,10314000000.0,,,,,,,,,130693000000.0,63072000000.0,187442000000.0,20129000000.0,-26109000000.0,108545000000.0,96265000000.0,12784000000.0
GS,333248000000.0,116905000000.0,46254000000.0,-12587000000.0,-2316000000.0,,,,324199000000.0,117189000000.0,47365000000.0,8708000000.0,-3748000000.0,,,,321879000000.0,109926000000.0,59339000000.0,6298000000.0,-4667000000.0,,,,,,,,,,,
HON,21536000000.0,15856000000.0,36662000000.0,5340000000.0,-1039000000.0,23502000000.0,18539000000.0,7554000000.0,20537000000.0,16697000000.0,35466000000.0,5274000000.0,-766000000.0,24982000000.0,19938000000.0,7070000000.0,20631000000.0,18569000000.0,34392000000.0,6038000000.0,-895000000.0,25372000000.0,19508000000.0,7473000000.0,,,,,,,,
HPQ,10739000000.0,-1069000000.0,53718000000.0,3571000000.0,-593000000.0,17977000000.0,24488000000.0,4223000000.0,12294000000.0,-3025000000.0,62910000000.0,4463000000.0,-765000000.0,19736000000.0,26189000000.0,5117000000.0,,,,,,,,,10899000000.0,-1323000000.0,53559000000.0,3749000000.0,-592000000.0,20760000000.0,28687000000.0,4202000000.0
IBM,59935000000.0,22533000000.0,61860000000.0,13931000000.0,-1810000000.0,32908000000.0,34122000000.0,9374000000.0,54013000000.0,21944000000.0,60530000000.0,10435000000.0,-1972000000.0,29118000000.0,31505000000.0,8154000000.0,55139000000.0,18901000000.0,57351000000.0,12796000000.0,-2768000000.0,29539000000.0,33619000000.0,6865000000.0,,,,,,,,
